#languageTag	#level	#worksheet	#problemNo	#sequenceType	#voiceSource	#problemSentence	#exampleNumber1	#exampleNumber2	#exampleNumber3	#exampleNumber4	#exampleWord1	#exampleWord2	#exampleWord3	#exampleWord4	#rightFormula	#rightAnswer	#objectValueA	#objectValueB	#objectValueC	#objectValueD	#equationValueA	#equationValueB	#equationSign	#equationUnknown	#objectSourceA	#objectSourceB	#objectSourceC	#objectSourceD
en-US	1	3	2	1	"Mohanlal's hen laid 6 eggs yesterday and 3 eggs today. How many eggs did Mohanlal's hen lay in all?"	Mohanlal's hen laid 6 eggs yesterday and 3 eggs today. How many eggs did Mohanlal's hen lay in all?	6	7	8	9	eggs	eggs	eggs	eggs	6 + 3 = <9>	4	6	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	1	3	3	1	"Anu earns star stickers when she does math at school. Yesterday, Anu earned 4 stars. Today, she earned 3 more. How many stars did Anu earn in all?"	Anu earns star stickers when she does math at school. Yesterday, Anu earned 4 stars. Today, she earned 3 more. How many stars did Anu earn in all?	6	7	8	9	stars	stars	stars	stars	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	1	3	4	1	"Deepesh has 6 books. Kartik has 2 books. How many books do they have in all?"	Deepesh has 6 books. Kartik has 2 books. How many books do they have in all?	3	5	7	8	books	books	books	books	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	1	3	5	1	"Radhika caught 5 fish in the morning. She caught 4 more fish in the afternoon. How many fish did Radhika catch in all?"	Radhika caught 5 fish in the morning. She caught 4 more fish in the afternoon. How many fish did Radhika catch in all?	6	7	8	9	fish	fish	fish	fish	5 + 4 = <9>	4	5	4	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	2	1	1	4	"Manish has 2 marbles. Lata has 3 more marbles than Manish. How many marbles does Lata have?"	Manish has 2 marbles. Lata has 3 more marbles than Manish. How many marbles does Lata have?	2	3	5	8	marbles	marbles	marbles	marbles	2 + 3 = <5>	3	2	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	2	1	2	4	"Ganesh has 4 stamps. Daanish has 5 more stamps than Ganesh. How many stamps does Daanish have?"	Ganesh has 4 stamps. Daanish has 5 more stamps than Ganesh. How many stamps does Daanish have?	4	5	9	11	stamps	stamps	stamps	stamps	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	2	1	3	4	"The school has two lost-and-found boxes. In the first box, there are@5 hats. In the second box, there are@4 more hats than in the first box. How many hats are there in the second box?"	The school has two lost-and-found boxes. In the first box, there are@5 hats. In the second box, there are@4 more hats than in the first box. How many hats are there in the second box?	5	9	14	15	hats	hats	hats	hats	5 + 4 = <9>	2	5	9	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	2	1	4	4	"Mukul bought 3 more books than Megha. Megha bought a book. How many books did Mukul buy?"	Mukul bought 3 more books than Megha. Megha bought a book. How many books did Mukul buy?	3	4	5	6	books	books	books	books	1 + 3 = <4>	2	4	1	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	2	1	5	4	"Rameshna has 5 more puzzles than Bharat. Bharat has 3 puzzles. How many puzzles does Rameshna have?"	Rameshna has 5 more puzzles than Bharat. Bharat has 3 puzzles. How many puzzles does Rameshna have?	6	7	8	9	puzzles	puzzles	puzzles	puzzles	3 + 5 = <8>	3	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	2	2	1	4	"Ganesh has 4 stamps. Daanish has 5 more stamps than Ganesh. How many stamps does Daanish have?"	Ganesh has 4 stamps. Daanish has 5 more stamps than Ganesh. How many stamps does Daanish have?	4	5	9	11	stamps	stamps	stamps	stamps	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	2	2	2	4	"Shashank has 2 goats on his farm. There are 6 more chickens than goats on his farm. How many chickens does he have?"	Shashank has 2 goats on his farm. There are 6 more chickens than goats on his farm. How many chickens does he have?	2	6	8	12	chickens	chickens	chickens	chickens	2 + 6 = <8>	3	2	8	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	2	2	3	4	"Jyoti is 5 years old. Her sister Jiya is 2 years older than Jyoti. How old is Jiya?"	Jyoti is 5 years old. Her sister Jiya is 2 years older than Jyoti. How old is Jiya?	2	5	7	9	years old	years old	years old	years old	5 + 2 = <7>	3	5	7	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	2	2	4	4	"The library has 5 more tables than the school office. The school office has@2 tables. How many tables does the library have?"	The library has 5 more tables than the school office. The school office has@2 tables. How many tables does the library have?	5	7	9	11	tables	tables	tables	tables	2 + 5 = <7>	2	7	2	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	2	2	5	4	"Mukul bought 3 more books than Megha. Megha bought a book. How many books did Mukul buy?"	Mukul bought 3 more books than Megha. Megha bought a book. How many books did Mukul buy?	3	4	5	6	books	books	books	books	1 + 3 = <4>	2	4	1	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	2	3	1	4	"Jyoti is 5 years old. Her sister Jiya is 2 years older than Jyoti. How old is Jiya?"	Jyoti is 5 years old. Her sister Jiya is 2 years older than Jyoti. How old is Jiya?	2	5	7	9	years old	years old	years old	years old	5 + 2 = <7>	3	5	7	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	2	3	2	4	"Ganesh has 4 stamps. Daanish has 5 more stamps than Ganesh. How many stamps does Daanish have?"	Ganesh has 4 stamps. Daanish has 5 more stamps than Ganesh. How many stamps does Daanish have?	4	5	9	11	stamps	stamps	stamps	stamps	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	2	3	3	4	"Manish has 2 marbles. Lata has 3 more marbles than Manish. How many marbles does Lata have?"	Manish has 2 marbles. Lata has 3 more marbles than Manish. How many marbles does Lata have?	2	3	5	8	marbles	marbles	marbles	marbles	2 + 3 = <5>	3	2	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	2	3	4	4	"Rameshna has 5 more puzzles than Bharat. Bharat has 3 puzzles. How many puzzles does Rameshna have?"	Rameshna has 5 more puzzles than Bharat. Bharat has 3 puzzles. How many puzzles does Rameshna have?	6	7	8	9	puzzles	puzzles	puzzles	puzzles	3 + 5 = <8>	3	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	2	3	5	4	"The library has 5 more tables than the school office. The school office has@2 tables. How many tables does the library have?"	The library has 5 more tables than the school office. The school office has@2 tables. How many tables does the library have?	5	7	9	11	tables	tables	tables	tables	2 + 5 = <7>	2	7	2	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	3	1	1	2	"4 birds are sitting on a branch and 1 flies away. How many birds are left on the branch?"	4 birds are sitting on a branch and 1 flies away. How many birds are left on the branch?	2	3	4	5	birds	birds	birds	birds	4 - 1 = <3>	2	4	1	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	3	1	2	2	"There are 9 kites flying in the sky. A wind blows 3 kites down on the ground. How many kites are still flying in the sky?"	There are 9 kites flying in the sky. A wind blows 3 kites down on the ground. How many kites are still flying in the sky?	5	6	7	8	kites	kites	kites	kites	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	3	1	3	2	"5 apples are on the table. Rehman eats 2 apples. How many apples are left on the table?"	5 apples are on the table. Rehman eats 2 apples. How many apples are left on the table?	2	3	4	5	apples	apples	apples	apples	5 - 2  = <3>	2	5	2	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	3	1	4	2	"Basanti makes 8 loaves of bread. She gives 3 loaves of bread to her cousin. How many loaves of bread does she have left?"	Basanti makes 8 loaves of bread. She gives 3 loaves of bread to her cousin. How many loaves of bread does she have left?	8	7	6	5	loaves	loaves	loaves	loaves	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	3	1	5	2	"Rakhi makes 4 bracelets. She gives 2 of them to her friend. How many bracelets does Rakhi have left?"	Rakhi makes 4 bracelets. She gives 2 of them to her friend. How many bracelets does Rakhi have left?	1	2	3	4	bracelet	bracelets	bracelets	bracelets	4 - 2 = <2>	2	4	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	3	2	1	2	"Pushpa has 7 cookies. She eats 2 of them. How many cookies does she have left?"	Pushpa has 7 cookies. She eats 2 of them. How many cookies does she have left?	3	4	5	6	cookies	cookies	cookies	cookies	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	3	2	2	2	"Basanti makes 8 loaves of bread. She gives 3 loaves of bread to her cousin. How many loaves of bread does she have left?"	Basanti makes 8 loaves of bread. She gives 3 loaves of bread to her cousin. How many loaves of bread does she have left?	8	7	6	5	loaves	loaves	loaves	loaves	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	3	2	3	2	"Pooja has 9 bracelets. She loses 2 of them. How many bracelets does Pooja have left?"	Pooja has 9 bracelets. She loses 2 of them. How many bracelets does Pooja have left?	9	7	5	3	bracelets	bracelets	bracelets	bracelets	9 - 2 = <7>	2	9	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	3	2	4	2	"There are 9 kites flying in the sky. A wind blows 3 kites down on the ground. How many kites are still flying in the sky?"	There are 9 kites flying in the sky. A wind blows 3 kites down on the ground. How many kites are still flying in the sky?	5	6	7	8	kites	kites	kites	kites	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	3	2	5	2	"Pushpa has 7 cookies. She eats 2 of them. How many cookies does she have left?"	Pushpa has 7 cookies. She eats 2 of them. How many cookies does she have left?	3	4	5	6	cookies	cookies	cookies	cookies	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	3	3	1	2	"5 apples are on the table. Rehman eats 2 apples. How many apples are left on the table?"	5 apples are on the table. Rehman eats 2 apples. How many apples are left on the table?	2	3	4	5	apples	apples	apples	apples	5 - 2  = <3>	2	5	2	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	3	3	2	2	"Basanti makes 8 loaves of bread. She gives 3 loaves of bread to her cousin. How many loaves of bread does she have left?"	Basanti makes 8 loaves of bread. She gives 3 loaves of bread to her cousin. How many loaves of bread does she have left?	8	7	6	5	loaves	loaves	loaves	loaves	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	3	3	3	2	"Pooja has 9 bracelets. She loses 2 of them. How many bracelets does Pooja have left?"	Pooja has 9 bracelets. She loses 2 of them. How many bracelets does Pooja have left?	9	7	5	3	bracelets	bracelets	bracelets	bracelets	9 - 2 = <7>	2	9	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	3	3	4	2	"There are 9 kites flying in the sky. A wind blows 3 kites down on the ground. How many kites are still flying in the sky?"	There are 9 kites flying in the sky. A wind blows 3 kites down on the ground. How many kites are still flying in the sky?	5	6	7	8	kites	kites	kites	kites	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	3	3	5	2	"Pushpa has 7 cookies. She eats 2 of them. How many cookies does she have left?"	Pushpa has 7 cookies. She eats 2 of them. How many cookies does she have left?	3	4	5	6	cookies	cookies	cookies	cookies	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	4	1	1	4	"There are 6 birds and 3 nests. How many more birds are there than nests?"	There are 6 birds and 3 nests. How many more birds are there than nests??	3	6	9	12	birds	birds	birds	birds	6 - 3 = <3>	1	6	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	4	1	2	4	"Astha walks 4 blocks to school. Prabha walks 2 blocks to school. How many more blocks does Astha walk than Prabha to school?"	Astha walks 4 blocks to school. Prabha walks 2 blocks to school. How many more blocks does Astha walk than Prabha to school?	2	4	6	8	blocks	blocks	blocks	blocks	4 - 2 = <2>	1	4	2	0	0					wordwindow-stone-blue.png	wordwindow-stone-red.png		
en-US	4	1	3	4	"Aayushi is 9 years old. Her sister Seema is 6 years old. How much older is Aayushi than her sister Seema?"	Aayushi is 9 years old. Her sister Seema is 6 years old. How much older is Aayushi than her sister Seema?	3	6	9	12	years	years	years	years	9 - 6  = <3>	1	9	6	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	4	1	4	4	"Rehman ate 7 cookies and Prabha ate 2 cookies. How many fewer cookies did Prabha eat than Rehman?"	Rehman ate 7 cookies and Prabha ate 2 cookies. How many fewer cookies did Prabha eat than Rehman?	3	5	7	9	cookies	cookies	cookies	cookies	7 - 2 = <5>	2	7	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	4	1	5	4	"Deepesh planted 5 seeds in a school garden. Prabha planted 8 seeds. How many fewer seeds did Deepesh plant than Prabha?"	Deepesh planted 5 seeds in a school garden. Prabha planted 8 seeds. How many fewer seeds did Deepesh plant than Prabha?	3	5	8	10	seeds	seeds	seeds	seeds	8 - 5 = <3>	1	5	8	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	4	2	1	4	"There are 5 cups and 7 plates. How many more plates are there than cups?"	There are 5 cups and 7 plates. How many more plates are there than cups?	2	5	9	14	plates	plates	plates	plates	7 - 5 = <2>	1	5	7	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	4	2	2	4	"Drishti had 3 pages of math homework yesterday. She has 9 pages of math homework today. How many more pages does Drishti have today than yesterday?"	Drishti had 3 pages of math homework yesterday. She has 9 pages of math homework today. How many more pages does Drishti have today than yesterday??	3	6	9	12	pages	pages	pages	pages	9 - 3 = <6>	2	3	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	4	2	3	4	"You have 7 balloons and your friend has 5 balloons. How many more balloons do you have than your friend?"	You have 7 balloons and your friend has 5 balloons. How many more balloons do you have than your friend?	2	5	7	9	balloons	balloons	balloons	balloons	7 - 5 = <2>	1	7	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	4	2	4	4	"Deepesh planted 5 seeds in a school garden. Prabha planted 8 seeds. How many fewer seeds did Deepesh plant than Prabha?"	Deepesh planted 5 seeds in a school garden. Prabha planted 8 seeds. How many fewer seeds did Deepesh plant than Prabha?	3	5	8	10	seeds	seeds	seeds	seeds	8 - 5 = <3>	1	5	8	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	4	2	5	4	"There are 6 beetles and 4 butterflies. How many fewer butterflies are there than beetles?"	There are 6 beetles and 4 butterflies. How many fewer butterflies are there than beetles?	2	4	6	8	butterflies	butterflies	butterflies	butterflies	6 - 4 = <2>	1	6	4	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	4	3	1	4	"You have 7 balloons and your friend has 5 balloons. How many more balloons do you have than your friend?"	You have 7 balloons and your friend has 5 balloons. How many more balloons do you have than your friend?	2	5	7	9	balloons	balloons	balloons	balloons	7 - 5 = <2>	1	7	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	4	3	2	4	"Palak read 3 books and Niyati read 5 books. How many more books did Niyati read than Palak?"	Palak read 3 books and Niyati read 5 books. How many more books did Niyati read than Palak?	2	3	5	7	books	books	books	books	5 - 3 = <2>	1	3	5	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	4	3	3	4	"There are 6 birds and 3 nests. How many more birds are there than nests??"	There are 6 birds and 3 nests. How many more birds are there than nests??	3	6	9	12	birds	birds	birds	birds	6 - 3 = <3>	1	6	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	4	3	4	4	"There are 6 beetles and 4 butterflies. How many fewer butterflies are there than beetles?"	There are 6 beetles and 4 butterflies. How many fewer butterflies are there than beetles?	2	4	6	8	butterflies	butterflies	butterflies	butterflies	6 - 4 = <2>	1	6	4	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	4	3	5	4	"Rehman ate 7 cookies and Prabha ate 2 cookies. How many fewer cookies did Prabha eat than Rehman?"	Rehman ate 7 cookies and Prabha ate 2 cookies. How many fewer cookies did Prabha eat than Rehman?	3	5	7	9	cookies	cookies	cookies	cookies	7 - 2 = <5>	2	7	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	5	1	1	1	"7 red apples and 2 green apples are in the basket. How many apples are in the basket?"	7 red apples and 2 green apples are in the basket. How many apples are in the basket?	6	7	8	9	apples	apples	apples	apples	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	5	1	2	1	"Radhika caught 5 fish in the morning. She caught 4 more fish in the afternoon. How many fish did Radhika catch in all?"	Radhika caught 5 fish in the morning. She caught 4 more fish in the afternoon. How many fish did Radhika catch in all?	6	7	8	9	fish	fish	fish	fish	5 + 4 = <9>	4	5	4	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	5	1	3	1	"Sharad got 3 new shirts on his birthday. He already had 5 shirts. How many shirts does he have now?"	Sharad got 3 new shirts on his birthday. He already had 5 shirts. How many shirts does he have now?	6	7	8	9	shirts	shirts	shirts	shirts	3 + 5 = <8>	3	3	5	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	5	1	4	1	"Radha saw 12 birds in a tree and 7 birds in another tree. How many birds did she see altogether?"	Radha saw 12 birds in a tree and 7 birds in another tree. How many birds did she see altogether?	17	18	19	20	birds	birds	birds	birds	12 + 7 = <19>	3	12	7	0	0					wordwindow-stone-blue.png	wordwindow-stone-red.png		
en-US	5	1	5	1	"There are 14 fish in a water tank. Lalita put 3 more fish into the tank. How many fish are there?"	There are 14 fish in a water tank. Lalita put 3 more fish into the tank. How many fish are there?	14	15	16	17	fish	fish	fish	fish	14 + 3 = <17>	4	14	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	5	2	1	1	"Deepesh has 6 books. Kartik has 2 books. How many books do they have in all?"	Deepesh has 6 books. Kartik has 2 books. How many books do they have in all?	3	5	7	8	books	books	books	books	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	5	2	2	1	"Anu earns star stickers when she does math at school. Yesterday, Anu earned 4 stars. Today, she earned 3 more. How many stars did Anu earn in all?"	Anu earns star stickers when she does math at school. Yesterday, Anu earned 4 stars. Today, she earned 3 more. How many stars did Anu earn in all?	6	7	8	9	stars	stars	stars	stars	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	5	2	3	1	"7 red apples and 2 green apples are in the basket. How many apples are in the basket?"	7 red apples and 2 green apples are in the basket. How many apples are in the basket?	6	7	8	9	apples	apples	apples	apples	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	5	2	4	1	"There are 14 fish in a water tank. Lalita put 3 more fish into the tank. How many fish are there?"	There are 14 fish in a water tank. Lalita put 3 more fish into the tank. How many fish are there?	14	15	16	17	fish	fish	fish	fish	14 + 3 = <17>	4	14	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	5	2	5	1	"Radha saw 12 birds in a tree and 7 birds in another tree. How many birds did she see altogether?"	Radha saw 12 birds in a tree and 7 birds in another tree. How many birds did she see altogether?	17	18	19	20	birds	birds	birds	birds	12 + 7 = <19>	3	12	7	0	0					wordwindow-stone-blue.png	wordwindow-stone-red.png		
en-US	6	1	1	4	"Ganesh has 4 stamps. Daanish has 5 more stamps than Ganesh. How many stamps does Daanish have?"	Ganesh has 4 stamps. Daanish has 5 more stamps than Ganesh. How many stamps does Daanish have?	4	5	9	11	stamps	stamps	stamps	stamps	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	6	1	2	4	"The library has 5 more tables than the school office. The school office has@2 tables. How many tables does the library have?"	The library has 5 more tables than the school office. The school office has@2 tables. How many tables does the library have?	5	7	9	11	tables	tables	tables	tables	2 + 5 = <7>	2	7	2	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	6	1	3	4	"The school has two lost-and-found boxes. In the first box, there are@5 hats. In the second box, there are@4 more hats than in the first box. How many hats are there in the second box?"	The school has two lost-and-found boxes. In the first box, there are@5 hats. In the second box, there are@4 more hats than in the first box. How many hats are there in the second box?	5	9	14	15	hats	hats	hats	hats	5 + 4 = <9>	2	5	9	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	6	1	4	4	"There are 10 plates at the dinner table. There are 5 more people than plates. How many people are at dinner?"	There are 10 plates at the dinner table. There are 5 more people than plates. How many people are at dinner?	10	15	20	25	people	people	people	people	10 + 5 = <15>	2	10	15	0	0					wordwindow-stone-blue.png	wordwindow-stone-red.png		
en-US	6	1	5	4	"There are 14 chairs in Ms. Jeet's classroom. There are 3 more chairs in Mr. Nakul's classroom. How many chairs are there in Mr. Nakul's classroom?"	There are 14 chairs in Ms. Jeet's classroom. There are 3 more chairs in Mr. Nakul's classroom. How many chairs are there in Mr. Nakul's classroom?	11	14	17	20	chairs	chairs	chairs	chairs	14 + 3 = <17>	3	14	17	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	6	2	1	4	"Shashank has 2 goats on his farm. There are 6 more chickens than goats on his farm. How many chickens does he have?"	Shashank has 2 goats on his farm. There are 6 more chickens than goats on his farm. How many chickens does he have?	2	6	8	12	chickens	chickens	chickens	chickens	2 + 6 = <8>	3	2	8	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	6	2	2	4	"Rameshna has 5 more puzzles than Bharat. Bharat has 3 puzzles. How many puzzles does Rameshna have?"	Rameshna has 5 more puzzles than Bharat. Bharat has 3 puzzles. How many puzzles does Rameshna have?	6	7	8	9	puzzles	puzzles	puzzles	puzzles	3 + 5 = <8>	3	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	6	2	3	4	"Manish has 2 marbles. Lata has 3 more marbles than Manish. How many marbles does Lata have?"	Manish has 2 marbles. Lata has 3 more marbles than Manish. How many marbles does Lata have?	2	3	5	8	marbles	marbles	marbles	marbles	2 + 3 = <5>	3	2	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	6	2	4	4	"There are 14 chairs in Ms. Jeet's classroom. There are 3 more chairs in Mr. Nakul's classroom. How many chairs are there in Mr. Nakul's classroom?"	There are 14 chairs in Ms. Jeet's classroom. There are 3 more chairs in Mr. Nakul's classroom. How many chairs are there in Mr. Nakul's classroom?	11	14	17	20	chairs	chairs	chairs	chairs	14 + 3 = <17>	3	14	17	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	6	2	5	4	"There are 10 plates at the dinner table. There are 5 more people than plates. How many people are at dinner?"	There are 10 plates at the dinner table. There are 5 more people than plates. How many people are at dinner?	10	15	20	25	people	people	people	people	10 + 5 = <15>	2	10	15	0	0					wordwindow-stone-blue.png	wordwindow-stone-red.png		
