#languageTag	#level	#worksheet	#problemNo	#sequenceType	#voiceSource	#problemSentence	#exampleNumber1	#exampleNumber2	#exampleNumber3	#exampleNumber4	#exampleWord1	#exampleWord2	#exampleWord3	#exampleWord4	#rightFormula	#rightAnswer	#objectValueA	#objectValueB	#objectValueC	#objectValueD	#equationValueA	#equationValueB	#equationSign	#equationUnknown	#objectSourceA	#objectSourceB	#objectSourceC	#objectSourceD
en-US	2	3	3	4	"बिली के पास 2 मार्बल्स हैं। लता के पास बिली की तुलना में 3 अधिक मार्बल्स हैं। लता के पास कितने मार्बल्स हैं?"	बिली के पास 2 मार्बल्स हैं। लता के पास बिली की तुलना में 3 अधिक मार्बल्स हैं। लता के पास कितने मार्बल्स हैं?	2	3	5	8	marbles	marbles	marbles	marbles	2 + 3 = <5>	3	2	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	2	3	4	4	"रमेशना के पास फतौ से 5 ज्यादा पहेलियां हैं। फतौ के पास 3 पहेलियां हैं। रमेशना के पास कितनी पहेलियां हैं?"	रमेशना के पास फतौ से 5 ज्यादा पहेलियां हैं। फतौ के पास 3 पहेलियां हैं। रमेशना के पास कितनी पहेलियां हैं?	6	7	8	9	puzzles	puzzles	puzzles	puzzles	3 + 5 = <8>	3	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	2	3	5	4	"पुस्तकालय में स्कूल कार्यालय की तुलना में 5 अधिक टेबल हैं। स्कूल के कार्यालय में 2 टेबल हैं। पुस्तकालय में कितने टेबल हैं?"	पुस्तकालय में स्कूल कार्यालय की तुलना में 5 अधिक टेबल हैं। स्कूल के कार्यालय में 2 टेबल हैं। पुस्तकालय में कितने टेबल हैं?	5	7	9	11	tables	tables	tables	tables	2 + 5 = <7>	2	7	2	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	3	1	1	2	"एक शाखा पर 4 पक्षी बैठे हैं। 1 उड़ गया। शाखा पर कितने पक्षी बचे हैं?"	एक शाखा पर 4 पक्षी बैठे हैं। 1 उड़ गया। शाखा पर कितने पक्षी बचे हैं?	2	3	4	5	birds	birds	birds	birds	4 - 1 = <3>	2	4	1	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	3	1	2	2	"आसमान में 9 पतंगें उड़ रही हैं। एक हवा 3 पतंगों को जमीन पर गिरा देती है। कितनी पतंगें अभी भी आसमान में उड़ रही हैं?"	आसमान में 9 पतंगें उड़ रही हैं। एक हवा 3 पतंगों को जमीन पर गिरा देती है। कितनी पतंगें अभी भी आसमान में उड़ रही हैं?	5	6	7	8	kites	kites	kites	kites	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	3	1	3	2	"5 एपल्स टेबल पर हैं। रेहमान 2 एपल्स खाता है। टेबल पर कितने एपल्स बचे हैं?"	5 एपल्स टेबल पर हैं। रेहमान 2 एपल्स खाता है। टेबल पर कितने एपल्स बचे हैं?	2	3	4	5	apples	apples	apples	apples	5 - 2  = <3>	2	5	2	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	3	1	4	2	"हैना 8 रोटियाँ बनाती है। वह अपने भाई को 3 रोटियाँ देती है। उसके पास कितनी रोटियाँ बची हैं?"	हैना 8 रोटियाँ बनाती है। वह अपने भाई को 3 रोटियाँ देती है। उसके पास कितनी रोटियाँ बची हैं?	8	7	6	5	rotis	rotis	rotis	rotis	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	3	1	5	2	"राखी 4 कंगन बनाती है। वह उनमें से 2 अपने दोस्त को देती है। राखी के पास कितने कंगन बचे हैं?"	राखी 4 कंगन बनाती है। वह उनमें से 2 अपने दोस्त को देती है। राखी के पास कितने कंगन बचे हैं?	1	2	3	4	bracelet	bracelets	bracelets	bracelets	4 - 2 = <2>	2	4	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	3	2	1	2	"पुष्प के पास 7 बिस्कुट हैं। वह उनमें से 2 खाती है। उसके पास कितनी बिस्कुट बची हैं?"	पुष्प के पास 7 बिस्कुट हैं। वह उनमें से 2 खाती है। उसके पास कितनी बिस्कुट बची हैं?	3	4	5	6	biscuits	biscuits	biscuits	biscuits	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	3	2	2	2	"हैना 8 रोटियाँ बनाती है। वह अपने भाई को 3 रोटियाँ देती है। उसके पास कितनी रोटियाँ बची हैं?"	हैना 8 रोटियाँ बनाती है। वह अपने भाई को 3 रोटियाँ देती है। उसके पास कितनी रोटियाँ बची हैं?	8	7	6	5	rotis	rotis	rotis	rotis	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	3	2	3	2	"पूजा के 9 कंगन हैं। वह उनमें से 2 खो देती है। पूजा के पास अभ कितने कंगन बचे हैं?"	पूजा के 9 कंगन हैं। वह उनमें से 2 खो देती है। पूजा के पास अभ कितने कंगन बचे हैं?	9	7	5	3	bracelets	bracelets	bracelets	bracelets	9 - 2 = <7>	2	9	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	3	2	4	2	"आसमान में 9 पतंगें उड़ रही हैं। एक हवा 3 पतंगों को जमीन पर गिरा देती है। कितनी पतंगें अभी भी आसमान में उड़ रही हैं?"	आसमान में 9 पतंगें उड़ रही हैं। एक हवा 3 पतंगों को जमीन पर गिरा देती है। कितनी पतंगें अभी भी आसमान में उड़ रही हैं?	5	6	7	8	kites	kites	kites	kites	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	3	2	5	2	"पुष्प के पास 7 बिस्कुट हैं। वह उनमें से 2 खाती है। उसके पास कितनी बिस्कुट बची हैं?"	पुष्प के पास 7 बिस्कुट हैं। वह उनमें से 2 खाती है। उसके पास कितनी बिस्कुट बची हैं?	3	4	5	6	biscuits	biscuits	biscuits	biscuits	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	3	3	1	2	"5 एपल्स टेबल पर हैं। रेहमान 2 एपल्स खाता है। टेबल पर कितने एपल्स बचे हैं?"	5 एपल्स टेबल पर हैं। रेहमान 2 एपल्स खाता है। टेबल पर कितने एपल्स बचे हैं?	2	3	4	5	apples	apples	apples	apples	5 - 2  = <3>	2	5	2	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	3	3	2	2	"हैना 8 रोटियाँ बनाती है। वह अपने भाई को 3 रोटियाँ देती है। उसके पास कितनी रोटियाँ बची हैं?"	हैना 8 रोटियाँ बनाती है। वह अपने भाई को 3 रोटियाँ देती है। उसके पास कितनी रोटियाँ बची हैं?	8	7	6	5	rotis	rotis	rotis	rotis	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	3	3	3	2	"पूजा के 9 कंगन हैं। वह उनमें से 2 खो देती है। पूजा के पास अभ कितने कंगन बचे हैं?"	पूजा के 9 कंगन हैं। वह उनमें से 2 खो देती है। पूजा के पास अभ कितने कंगन बचे हैं?	9	7	5	3	bracelets	bracelets	bracelets	bracelets	9 - 2 = <7>	2	9	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	3	3	4	2	"आसमान में 9 पतंगें उड़ रही हैं। एक हवा 3 पतंगों को जमीन पर गिरा देती है। कितनी पतंगें अभी भी आसमान में उड़ रही हैं?"	आसमान में 9 पतंगें उड़ रही हैं। एक हवा 3 पतंगों को जमीन पर गिरा देती है। कितनी पतंगें अभी भी आसमान में उड़ रही हैं?	5	6	7	8	kites	kites	kites	kites	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	3	3	5	2	"पुष्प के पास 7 बिस्कुट हैं। वह उनमें से 2 खाती है। उसके पास कितनी बिस्कुट बची हैं?"	पुष्प के पास 7 बिस्कुट हैं। वह उनमें से 2 खाती है। उसके पास कितनी बिस्कुट बची हैं?	3	4	5	6	biscuits	biscuits	biscuits	biscuits	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	4	1	1	4	"6 पक्षी और 3 घोंसले हैं। घोंसलों की तुलना में कितने अधिक पक्षी हैं"	6 पक्षी और 3 घोंसले हैं। घोंसलों की तुलना में कितने अधिक पक्षी हैं?	3	6	9	12	birds	birds	birds	birds	6 - 3 = <3>	1	6	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	4	1	2	4	"आस्था ने 4 ब्लॉक चलती है स्कूल के लिए। अलका स्कूल के लिए 2 ब्लॉक चलता है। आस्था अलका की तुलना में स्कूल जाने के लिए और कितने ब्लॉक चलती हैं?"	आस्था ने 4 ब्लॉक चलती है स्कूल के लिए। अलका स्कूल के लिए 2 ब्लॉक चलता है। आस्था अलका की तुलना में स्कूल जाने के लिए और कितने ब्लॉक चलती हैं?	2	4	6	8	blocks	blocks	blocks	blocks	4 - 2 = <2>	1	4	2	0	0					wordwindow-stone-blue.png	wordwindow-stone-red.png		
en-US	4	1	3	4	"लुसी 9 साल की है। उसकी बहन सीमा 6 साल की है। लुसी अपनी बहन सीमा से कितनी बड़ी है?"	लुसी 9 साल की है। उसकी बहन सीमा 6 साल की है। लुसी अपनी बहन सीमा से कितनी बड़ी है?	3	6	9	12	years	years	years	years	9 - 6  = <3>	1	9	6	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	4	1	4	4	"रेहमान ने 7 बिस्कुट और अलका ने 2 बिस्कुट  खाए। रेहमान की तुलना में अलका ने कितने कम बिस्कुट खाए?"	रेहमान ने 7 बिस्कुट और अलका ने 2 बिस्कुट  खाए। रेहमान की तुलना में अलका ने कितने कम बिस्कुट खाए?	3	5	7	9	biscuits	biscuits	biscuits	biscuits	7 - 2 = <5>	2	7	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	4	1	5	4	"दीपेश ने स्कूल के बगीचे में 5 बीज लगाए। अलका ने 8 बीज लगाए। दीपेश ने अलका की तुलना में कितने कम बीज लगाए?"	दीपेश ने स्कूल के बगीचे में 5 बीज लगाए। अलका ने 8 बीज लगाए। दीपेश ने अलका की तुलना में कितने कम बीज लगाए?	3	5	8	10	seeds	seeds	seeds	seeds	8 - 5 = <3>	1	5	8	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	4	2	1	4	"5 कप और 7 प्लेटें हैं। कपों की तुलना में कितनी अधिक प्लेटें हैं?"	5 कप और 7 प्लेटें हैं। कपों की तुलना में कितनी अधिक प्लेटें हैं?	2	5	9	14	plates	plates	plates	plates	7 - 5 = <2>	1	5	7	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	4	2	2	4	"दृष्टि के कल गणित के होमवर्क के 3 पृष्ठ थे। उसके पास आज गणित के होमवर्क के 9 पृष्ठ हैं। कल की तुलना में दृष्टि के आज और कितने पृष्ठ हैं"	दृष्टि के कल गणित के होमवर्क के 3 पृष्ठ थे। उसके पास आज गणित के होमवर्क के 9 पृष्ठ हैं। कल की तुलना में दृष्टि के आज और कितने पृष्ठ हैं?	3	6	9	12	pages	pages	pages	pages	9 - 3 = <6>	2	3	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	4	2	3	4	"आपके पास 7 गुब्बारे हैं और आपके मित्र के पास 5 गुब्बारे हैं। आपके मित्र के मुकाबले आपके पास कितने गुब्बारे ज़्यादा हैं?"	आपके पास 7 गुब्बारे हैं और आपके मित्र के पास 5 गुब्बारे हैं। आपके मित्र के मुकाबले आपके पास कितने गुब्बारे ज़्यादा हैं?	2	5	7	9	balloons	balloons	balloons	balloons	7 - 5 = <2>	1	7	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	4	2	4	4	"दीपेश ने स्कूल के बगीचे में 5 बीज लगाए। अलका ने 8 बीज लगाए। दीपेश ने अलका की तुलना में कितने कम बीज लगाए?"	दीपेश ने स्कूल के बगीचे में 5 बीज लगाए। अलका ने 8 बीज लगाए। दीपेश ने अलका की तुलना में कितने कम बीज लगाए?	3	5	8	10	seeds	seeds	seeds	seeds	8 - 5 = <3>	1	5	8	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	4	2	5	4	"6 बीटल और 4 तितलियां हैं। बीटल की तुलना में कितनी कम तितलियां हैं?"	6 बीटल और 4 तितलियां हैं। बीटल की तुलना में कितनी कम तितलियां हैं?	2	4	6	8	butterflies	butterflies	butterflies	butterflies	6 - 4 = <2>	1	6	4	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	4	3	1	4	"आपके पास 7 गुब्बारे हैं और आपके मित्र के पास 5 गुब्बारे हैं। आपके मित्र के मुकाबले आपके पास कितने गुब्बारे ज़्यादा हैं?"	आपके पास 7 गुब्बारे हैं और आपके मित्र के पास 5 गुब्बारे हैं। आपके मित्र के मुकाबले आपके पास कितने गुब्बारे ज़्यादा हैं?	2	5	7	9	balloons	balloons	balloons	balloons	7 - 5 = <2>	1	7	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	4	3	2	4	"पलक ने 3 किताबें पढ़ीं और राधिका ने 5 किताबें पढ़ीं। पलक की तुलना में राधिका ने कितनी और किताबें पढ़ीं?"	पलक ने 3 किताबें पढ़ीं और राधिका ने 5 किताबें पढ़ीं। पलक की तुलना में राधिका ने कितनी और किताबें पढ़ीं?	2	3	5	7	books	books	books	books	5 - 3 = <2>	1	3	5	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	4	3	3	4	"6 पक्षी और 3 घोंसले हैं। घोंसलों की तुलना में कितने अधिक पक्षी हैं?"	6 पक्षी और 3 घोंसले हैं। घोंसलों की तुलना में कितने अधिक पक्षी हैं?	3	6	9	12	birds	birds	birds	birds	6 - 3 = <3>	1	6	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	4	3	4	4	"6 बीटल और 4 तितलियां हैं। बीटल की तुलना में कितनी कम तितलियां हैं?"	6 बीटल और 4 तितलियां हैं। बीटल की तुलना में कितनी कम तितलियां हैं?	2	4	6	8	butterflies	butterflies	butterflies	butterflies	6 - 4 = <2>	1	6	4	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	4	3	5	4	"रेहमान ने 7 बिस्कुट और अलका ने 2 बिस्कुट  खाए। रेहमान की तुलना में अलका ने कितने कम बिस्कुट खाए?"	रेहमान ने 7 बिस्कुट और अलका ने 2 बिस्कुट  खाए। रेहमान की तुलना में अलका ने कितने कम बिस्कुट खाए?	3	5	7	9	biscuits	biscuits	biscuits	biscuits	7 - 2 = <5>	2	7	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
