Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12
MiniTest_3_3	3	33011, 33012, 33013, 33014, 33015									
			33011	soundonly_word					bed	bed	bed^dad^kid
			33012	soundonly_word					hug	hug	bug^hug^dog
			33013	soundonly_word					po	p+o	f+o^v+o^p+o
			33014	soundonly_image					leaf	leaf.png	baby.png^leaf.png^fire.png
			33015	image_word	_ig	pig.png				p	b^p^q
											
PostTest_3	1	3001, 3002, 3003, 3004, 3005, 3006, 3007, 3008, 3009, 3010									
			3001	word_word		ca				c+a	s+a^h+a^c+a
			3002	word_word		ne				n+e	n+e^l+e^b+e
			3003	word_word		do				d+o	l+o^d+o^v+o
			3004	image_word	_at	mat.png				m	b^c^m
			3005	image_word	b__	bag.png				ag	ug^ag^og
			3006	soundonly_word					ta	t+a	t+a^b+a^r+a
			3007	soundonly_word					ge	g+e	j+e^g+e^k+e
			3008	soundonly_word					fi	f+i	b+i^w+i^f+i
			3009	soundonly_image					sun	sun.png	sun.png^bus.png^star.png
			3010	soundonly_image					cow	cow.png	dog.png^pig.png^cow.png
											
PostTest_3	2	3011, 3012, 3013, 3014, 3015, 3016, 3017, 3018, 3019, 3020									
			3011	word_word		va				v+a	v+a^l+a^j+a
			3012	word_word		se				s+e	f+e^d+e^s+e
			3013	word_word		hu				h+u	n+u^h+u^c+u
			3014	image_word	_ug	mug.png				m	m^g^s
			3015	image_word	f__	fan.png				an	at^an^am
			3016	soundonly_word					bi	b+i	v+i^k+i^b+i
			3017	soundonly_word					co	c+o	c+o^f+o^p+o
			3018	soundonly_word					ju	j+u	t+u^j+u^n+u
			3019	soundonly_image					bed	bed.png	bus.png^bed.png^box.png
			3020	soundonly_image					rat	rat.png	bat.png^mat.png^rat.png
											
MiniTest_4_1	1	41001, 41002, 41003, 41004, 41005									
			41001	image_word		bus.png				bus	bug^bus^bat
			41002	image_word		mom.png				mom	mom^mop^man
			41003	soundonly_word					zip	zip	cap^net^zip
			41004	soundonly_word					bed	bed	bed^dad^vet
			41005	soundonly_word					hat	hat	mat^hat^cat
											
MiniTest_4_1	2	41006, 41007, 41008, 41009, 41010									
			41006	image_word		six.png				six	six^box^fox
			41007	image_word		dog.png				dog	dot^dog^dad
			41008	soundonly_word					red	red	red^sad^mad
			41009	soundonly_word					box	box	fox^six^box
			41010	soundonly_word					log	log	mug^log^bug
											
MiniTest_4_1	3	41011, 41012, 41013, 41014, 41015									
			41011	image_word		kid.png				kid	bed^kit^kid
			41012	image_word		rat.png				rat	rat^red^ram
			41013	soundonly_word					man	man	pan^man^mat
			41014	soundonly_word					bug	bug	bug^bus^bag
			41015	soundonly_word					bag	bag	hug^bad^bag
											
MiniTest_4_2	1	42001, 42002, 42003, 42004, 42005									
			42001	image_word	__um	drum.png				dr	cr^dr^br
			42002	image_word	tr__	tree.png				ee	ee^ie^oa
			42003	soundonly_word					cake	cake	fake^make^cake
			42004	soundonly_word					nose	nose	hose^nose^rose
			42005	sentence_word		Choose the pair with the same first sound.			Choose the pair with the same first sound.	hand, house	hand, house^bug, ten^jump, fan
											
MiniTest_4_2	2	42006, 42007, 42008, 42009, 42010									
			42006	image_word	__og	frog.png				fr	fr^pr^br
			42007	image_word	bl__	blue.png				ue	ee^oo^ue
			42008	soundonly_word					face	face	pace^face^lace
			42009	soundonly_word					bowl	bowl	bowl^blow^brown
			42010	sentence_word		Choose the pair with the same first sound.			Choose the pair with the same first sound.	cat, car	vest, door^hot, girl^cat, car
											
MiniTest_4_2	3	42011, 42012, 42013, 42014, 42015									
			42011	image_word	__ack	black.png				bl	pl^fl^bl
			42012	image_word	st__	star.png				ar	ir^ar^ur
			42013	soundonly_word					rice	rice	rice^nice^mice
			42014	soundonly_word					baby	baby	navy^bake^baby
			42015	sentence_word		Choose the pair with the same first sound.			Choose the pair with the same first sound.	zoo, zebra	king, book^zoo, zebra^sad, map
											
MiniTest_4_3	1	43001, 43002, 43003, 43004, 43005									
			43001	word_word		__eep			sheep	sh	sh^ch^th
			43002	image_word		milk.png				milk	milk^cherry^bread
			43003	soundonly_word					goat	goat	gift^boat^goat
			43004	sentence_word		Choose the pair with the same first sound.			Choose the pair with the same first sound.	under, ugly	under, ugly^enter, ink^and, onion
			43005	sentence_word		Choose the pair with the same first sound.			Choose the pair with the same first sound.	what, why	the, shoe^what, why^chain, shape
											
MiniTest_4_3	2	43006, 43007, 43008, 43009, 43010									
			43006	image_word		cow.png				cow	cat^frog^cow
			43007	word_word		__at			chat	ch	ch^wh^sh
			43008	soundonly_word					flower	flower	fly^flower^plane
			43009	sentence_word		Choose the pair with the same first sound.			Choose the pair with the same first sound.	idea, ice	onion, arm^idea, ice^egg, ant
			43010	sentence_word		Choose the pair with the same first sound.			Choose the pair with the same first sound.	choose, chicken	white, chair^ship, chat^choose, chicken
											
MiniTest_4_3	3	43011, 43012, 43013, 43014, 43015									
			43011	word_word		__ip			ship	sh	sh^wh^th
			43012	image_word		lion.png				lion	lion^tiger^bear
			43013	soundonly_word					dish	dish	fish^mash^dish
			43014	sentence_word		Choose the pair with the same first sound.			Choose the pair with the same first sound.	only, old	only, old^it, ax^uncle, idea
			43015	sentence_word		Choose the pair with the same first sound.			Choose the pair with the same first sound.	this, then	what, that^this, then^child, ship
											
PostTest_4	1	4001, 4002, 4003, 4004, 4005, 4006, 4007, 4008, 4009, 4010									
			4001	image_word		cat.png				cat	rat^dog^cat
			4002	image_word		duck.png				duck	duck^crab^nest
			4003	image_word	__og	frog.png				fr	fr^pr^fl
			4004	image_word	__ue	blue.png				bl	br^bl^pl
			4005	soundonly_word					chick	chick	chop^ship^chick
			4006	image_word		l8_boyreading.png				read	read^sing^swim
			4007	image_word		l6_hedoctor.png				doctor	doctor^teacher^farmer
			4008	soundonly_word					cream	cream	crown^cream^cloud
			4009	sentence_sentence		Choose the pair with the same first sound.			Choose the pair with the same first sound.	gas, girl	zebra, salad^door, book^gas, girl
			4010	sentence_sentence		Choose the pair with the same first sound.			Choose the pair with the same first sound.	water, watch	water, watch^vest, bed^quiet, piano
											
PostTest_4	2	4011, 4012, 4013, 4014, 4015, 4016, 4017, 4018, 4019, 4020									
			4011	image_word		mug.png				mug	hug^mug^mat
			4012	image_word		rain.png				rain	lamp^nest^rain
			4013	image_word	__ock	clock.png				cl	fl^pl^cl
			4014	image_word	__een	green.png				gr	gr^br^pr
			4015	soundonly_word					shirt	shirt	chin^shirt^short
			4016	image_word		l8_heswimming.png				swim	read^sing^swim
			4017	image_word		l6_heteacher.png				teacher	doctor^teacher^farmer
			4018	soundonly_word					blouse	blouse	flower^yellow^blouse
			4019	sentence_sentence		Choose the pair with the same first sound.			Choose the pair with the same first sound.	jump, juice	jump, juice^game, dirty^find, visit
			4020	sentence_sentence		Choose the pair with the same first sound.			Choose the pair with the same first sound.	color, cube	tend, ball^lake, room^color, cube
											
MiniTest_5_1	1	51001, 51002, 51003, 51004, 51005									
			51001	sentence_word		Choose the right one.			nest	nest	best^pest^nest
			51002	sentence_word		Choose the right one.			snake	snake	snake^smake^spake
			51003	image_word		cake.png				cake	cake^lake^make
			51004	soundonly_image					There are five trees	book_en_216_page_5.png	book_en_216_page_5.png^book_en_216_page_6.png^book_en_216_page_3.png
			51005	sentence_word		Some cats have __________.			Some cats have long ears	long ears	long ears^spots^small eyes
											
MiniTest_5_1	2	51006, 51007, 51008, 51009, 51010									
			51006	sentence_word		Choose the right one.			face	face	vase^face^case
			51007	sentence_word		Choose the right one.			chair	chair	shair^whair^chair
			51008	image_word		flower.png				flower	flower^toilet^basket
			51009	soundonly_image					There are three trees	book_en_216_page_3.png	book_en_216_page_5.png^book_en_216_page_6.png^book_en_216_page_3.png
			51010	sentence_word		Some cats like _________.			Some cats like the sun	the sun	the moon^the sun^the rain
											
MiniTest_5_1	3	51011, 51012, 51013, 51014, 51015									
			51011	sentence_word		Choose the right one.			ball	ball	ball^fall^call
			51012	sentence_word		Choose the right one.			train	train	drain^train^crain
			51013	image_word		helmet.png				helmet	helmet^number^sunset
			51014	soundonly_image					There are six trees	book_en_216_page_6.png	book_en_216_page_5.png^book_en_216_page_6.png^book_en_216_page_3.png
			51015	sentence_word		Some cats like _________.			some cats like the moon	the moon	the moon^the sun^the rain
											
MiniTest_5_2	1	52001, 52002, 52003, 52004, 52005									
			52001	sentence_word		Choose the right one.			duck	duck	duck^buck^luck
			52002	sentence_word		Choose the right one.			heart	heart	hiert^heart^hart
			52003	soundonly_word					play	play	fly^clay^play
			52004	sentence_word		This is my ____.			this is my brother	brother	brother^mother^dad
			52005	sentence_word		Arvind is in his _____.			fred is in his bedroom	bedroom	bedroom^kitchen^house
											
MiniTest_5_2	2	52006, 52007, 52008, 52009, 52010									
			52006	sentence_word		Choose the right one.			news	news	mews^vews^news
			52007	sentence_word		Choose the right one.			paper	paper	paper^peper^papir
			52008	soundonly_word					sweet	sweet	sweet^green^brown
			52009	sentence_word		This is my ____.			this is my mother	mother	brother^mother^dad
			52010	sentence_word		Richa is in the _____.			cindy is in the kitchen	kitchen	bedroom^kitchen^house
											
MiniTest_5_2	3	52011, 52012, 52013, 52014, 52015									
			52011	sentence_word		Choose the right one.			lion	lion	bion^lion^rion
			52012	sentence_word		Choose the right one.			water	water	wator^watur^water
			52013	soundonly_word					boat	boat	boat^lunch^goat
			52014	sentence_word		This is my ____.			this is my dad	dad	brother^mother^dad
			52015	sentence_word		We need a ____.			we need a lamp	lamp	chair^picture^lamp
											
MiniTest_5_3	1	53001, 53002, 53003, 53004, 53005									
			53001	sentence_word		Choose the right one.			stick	stick	skick^spick^stick
			53002	sentence_word		Choose the right one.			father	father	pather^father^fathor
			53003	soundonly_word					pants	pants	pants^boots^shorts
			53004	sentence_word		Choose the pair with the same first sound.			Choose the pair with the same first sound.	flood, fly	grass, cross^flood, fly^drive, crab
			53005	sentence_word		I want to play near _______.			I want to play near the car	the car	the car^at home^the tent
											
MiniTest_5_3	2	53006, 53007, 53008, 53009, 53010									
			53006	sentence_word		Choose the right one.			floor	floor	floor^bloor^froor
			53007	sentence_word		Choose the right one.			dress	dress	bress^dress^dres
			53008	soundonly_word					shorts	shorts	pants^boots^shorts
			53009	sentence_word		Choose the pair with the same first sound.			Choose the pair with the same first sound.	black, blow	cold, bear^enter, under^black, blow
			53010	sentence_word		I want to play _______.			I want to play at home	at home	the car^at home^the tent
											
MiniTest_5_3	3	53011, 53012, 53013, 53014, 53015									
			53011	sentence_word		Choose the right one.			money	money	mony^money^monye
			53012	sentence_word		Choose the right one.			brush	brush	brush^bruch^blush
			53013	soundonly_word					boots	boots	pants^boots^shorts
			53014	sentence_word		Choose the pair with the same first sound.			Choose the pair with the same first sound.	shake, shirt	shake, shirt^stay, there^blush, snake
			53015	sentence_word		I want to play in _______.			I want to play in the tent	the tent	the car^at home^the tent
											
PostTest_5	1	5001, 5002, 5003, 5004, 5005, 5006, 5007, 5008, 5009, 5010									
			5001	soundonly_word					fish	fish	dish^fish^farm
			5002	soundonly_word					chair	chair	shop^church^chair
			5003	soundonly_word					teacher	teacher	teacher^student^classroom
			5004	sentence_sentence		Choose the pair with the same first sound.			Choose the pair with the same first sound.	choose, chick	child, that^choose, chick^shape, whale
			5005	sentence_sentence		Choose the pair with the same first sound.			Choose the pair with the same first sound.	play, plane	play, plane^flood, black^small, crab
			5006	image_word		yellow.png				yellow	white^black^yellow
			5007	image_word		house.png				house	house^paper^clock
			5008	sentence_word		Some animals are ______.			some animals are big	big	tall^big^small
			5009	sentence_word		These are our ______.			these are our hands	hands	knees^ears^hands
			5010	sentence_word		Yash rides his bicycle to _________.			Yash rides his bicycle to the store	the store	the store^the market^school
											
PostTest_5	2	5011, 5012, 5013, 5014, 5015, 5016, 5017, 5018, 5019, 5020									
			5011	soundonly_word					lion	lion	lion^frog^duck
			5012	soundonly_word					snake	snake	stop^snail^snake
			5013	soundonly_word					student	student	teacher^student^classroom
			5014	sentence_sentence		Choose the pair with the same first sound.			Choose the pair with the same first sound.	they, them	shoe, chap^what, short^they, them
			5015	sentence_sentence		Choose the pair with the same first sound.			Choose the pair with the same first sound.	truck, tree	dress, cross^truck, tree^blow, clock
			5016	image_word		heart.png				heart	heart^grass^stick
			5017	image_word		river.png				river	mouse^words^river
			5018	sentence_word		Some animals ______.			some animals walk	walk	walk^swim^fly
			5019	sentence_word		This is your ______.			this is your head	head	face^hair^head
			5020	sentence_word		Yash rides his bicycle to _________.			Yash rides his bicycle to the market	the market	the store^the market^school
											
MiniTest_6_1	1	61001, 61002, 61003, 61004, 61005									
			61001	soundonly_word					window	window	window^bathroom^door
			61002	soundonly_word					rain	rain	rain^storm^earth
			61003	sentence_word		The ______ are in the sky.			the birds are in the sky	birds	birds^chicken^frogs
			61004	image_sentence		l1_littlemouse.png			a little mouse	A little mouse.	A little mouse.^An orange dress.^A black book.
			61005	image_sentence		l1_tallboy.png			a tall boy	A tall boy.	A tall boy.^A tall baby.^A tall girl.
											
MiniTest_6_1	2	61006, 61007, 61008, 61009, 61010									
			61006	soundonly_word					bathroom	bathroom	window^bathroom^door
			61007	soundonly_word					storm	storm	rain^storm^earth
			61008	sentence_word		The ______ are in the nest.			the birds are in the nest	birds	birds^chicken^frogs
			61009	image_sentence		l3_3pails.png			three pails	Three pails.	Two pails.^Three boxes.^Three pails.
			61010	image_sentence		l1_orangehat.png			an orange hat	An orange hat.	An orange shirt.^An orange hat.^An orange orange.
											
MiniTest_6_1	3	61011, 61012, 61013, 61014, 61015									
			61011	soundonly_word					door	door	window^bathroom^door
			61012	soundonly_word					earth	earth	rain^storm^earth
			61013	sentence_word		Naresh cannot ______ high.			brian cannot jump high	jump	run^dance^jump
			61014	image_sentence		l1_littleant.png			a little ant	A little ant.	A little mouse.^A little ant.^A big cat.
			61015	image_sentence		l2_blackbear.png			a black bear	A black bear.	A black bear.^A black boot.^A black dog.
											
MiniTest_6_2	1	62001, 62002, 62003, 62004, 62005									
			62001	image_sentence		l4_1boy2chairs.png			a boy and two chairs	A boy and two chairs.	A boy and two chairs.^A spoon and two forks.^Two lemons and a tomato.
			62002	image_sentence		like_5.png			sam eats	Rehman eats.	Rehman eats.^Dinesh plays.^The plant grows.
			62003	sentence_word		A _____ bus.			a yellow bus	yellow	yellow^big^black
			62004	sentence_word		Astha _____ sick.			amy is sick	is	is^are^am
			62005	soundonly_image					I give our cow water	book_en_314_page_5.png	book_en_314_page_6.png^book_en_314_page_7.png^book_en_314_page_5.png
											
MiniTest_6_2	2	62006, 62007, 62008, 62009, 62010									
			62006	image_sentence		l4_1spoon2forks.png			A spoon and two forks.	A spoon and two forks.	A boy and two chairs.^A spoon and two forks.^Two lemons and a tomato.
			62007	image_sentence		like_2.png			Dinesh plays.	Dinesh plays.	Rehman eats.^Dinesh plays.^The plant grows.
			62008	sentence_word		A pink ______.			a pink dress	dress	dress^house^shirt
			62009	sentence_word		I _____ thirsty.			i am thirsty	am	is^are^am
			62010	soundonly_image					she likes carrots	book_en_314_page_6.png	book_en_314_page_6.png^book_en_314_page_7.png^book_en_314_page_5.png
											
MiniTest_6_2	3	62011, 62012, 62013, 62014, 62015									
			62011	image_sentence		l4_2lemons1tomato.png			Two lemons and a tomato	Two lemons and a tomato.	A boy and two chairs.^A spoon and two forks.^Two lemons and a tomato.
			62012	image_sentence		plants_7.png			The plant grows	The plant grows.	Rehman eats.^Dinesh plays.^The plant grows.
			62013	sentence_word		_____ cups.			four cups	Four	Four^Ten^Clean
			62014	sentence_word		My brothers _____ students.			my brothers  are students	are	is^are^am
			62015	soundonly_image					father milks our cow every day	book_en_314_page_7.png	book_en_314_page_6.png^book_en_314_page_7.png^book_en_314_page_5.png
											
MiniTest_6_3	1	63001, 63002, 63003, 63004, 63005									
			63001	sentence_word		Choose the right one.			dolphin	dolphin	dolphin^airplane^sleep
			63002	sentence_word		Choose the correct sentence.			she walks	She walks.	She walks.^Shewalks.^she walks
			63003	sentence_word		They are _______.			they are farmers	farmers	farmers^strong^doctors
			63004	image_sentence		book_en_328_page_2.png			This red food can be hot.	This red food can be hot.	This red food can be hot.^Yellow food can be a drink.^This brown food is sweet.
			63005	sentence_sentence		_________ Rabbit said.			I'm sorry,rabbit said	I'm sorry,	I'm sad,^I'm happy,^I'm sorry,
											
MiniTest_6_3	2	63006, 63007, 63008, 63009, 63010									
			63006	sentence_word		Choose the right one.			airplane	airplane	dolphin^airplane^sleep
			63007	sentence_word		Choose the correct sentence.			birds fly	Birds fly.	Birds fly.^Birdsfly.^birds fly
			63008	sentence_word		He is at _______.			he is at school	school	school^home^the park
			63009	image_sentence		book_en_328_page_5.png			Yellow food can make a drink.	Yellow food can make a drink.	This red food can be hot.^Yellow food can make a drink.^This brown food is sweet.
			63010	sentence_sentence		Rabbit said, ____________			Rabbit said. Let's play a game.	Let's play a game.	Let's jump.^Let's play a game.^Let's play ball.
											
MiniTest_6_3	3	63011, 63012, 63013, 63014, 63015									
			63011	sentence_word		Choose the right one.			sleep	sleep	dolphin^airplane^sleep
			63012	sentence_word		Choose the correct sentence.			He plays.	He plays.	He plays.^Heplays.^he plays
			63013	sentence_word		He doesn't have a _______.			he doesn't have a pen	pen	pen^sister^car
			63014	image_sentence		book_en_328_page_8.png			This brown food is sweet.	This brown food is sweet.	This red food can be hot.^Yellow food can make a drink.^This brown food is sweet.
			63015	sentence_sentence		_________ said Elephant.			Now it is my turn,said elephant	Now it is my turn,	Now it is my turn,^Now let's go,^Now we can play,
											
PostTest_6	1	6001, 6002, 6003, 6004, 6005, 6006, 6007, 6008, 6009, 6010									
			6001	soundonly_word					helmet	helmet	toilet^helmet^sunset
			6002	image_sentence		l1_orangehat.png			An orange hat.	An orange hat.	An orange shirt.^An orange hat.^A black hat.
			6003	image_sentence		l4_1lemon2tomatos.png			A lemon and two tomatoes.	A lemon and two tomatoes.	An orange and two tomatoes.^A lemon and two tomatoes.^Two lemons and two tomatoes.
			6004	image_sentence		l3_5ants.png			Five ants.	Five ants.	Five ants.^Five apples.^Four ants.
			6005	soundonly_sentence					my house	my house	my desk^my house^your house
			6006	soundonly_sentence					long snakes	long snakes	long snakes^long pants^long pencils
			6007	soundonly_sentence					Good morning.	Good morning.	Hello.^Good morning.^Good afternoon.
			6008	paragraph_sentence	What has no angles?	Let's learn about shapes. A triangle has three sides and three angles. A square has four equal sides and four equal angles. A circle has no angles. It is perfectly round.				A circle.	A triangle.^A square.^A circle.
			6009	paragraph_sentence	Who milks our cow?	This is our cow. I give our cow water. I give our cow treats. She likes carrots. Father milks our cow every day. We sell some of the milk for money.				Father.	Father.^I.^Our cow.
			6010	imageseq_sentence		Pomegranates are red.		Papayas are also filled with seeds.	Pomegranates are red. They are full of seeds that taste sweet. Papayas are also filled with seeds.	They are full of seeds that taste sweet.	Some fruit grow on trees.^They are full of seeds that taste sweet.^Some guavas are pink, too
											
PostTest_6	2	6011, 6012, 6013, 6014, 6015, 6016, 6017, 6018, 6019, 6020									
			6011	soundonly_word					sunset	sunset	toilet^helmet^sunset
			6012	image_sentence		l2_blackbear.png			a black bear	A black bear.	A black bear.^A white bear.^A black dog.
			6013	image_sentence		l4_2spoons2forks.png			Two spoons and two forks.	Two spoons and two forks.	Two spoons and a fork.^Two spoons and two forks.^A spoon and two forks.
			6014	image_sentence		l3_2cars.png			Two cars.	Two cars.	Two cars.^Two buses.^Three cars.
			6015	soundonly_sentence					three dogs	three dogs	three cats^three dogs^four dogs
			6016	soundonly_sentence					short hair	short hair	short hair^long hair^short skirt
			6017	soundonly_sentence					It is a truck.	It is a truck.	It is a tree.^It is a car.^It is a truck.
			6018	paragraph_sentence	What has four equal sides and angles?	Let's learn about shapes. A triangle has three sides and three angles. A square has four equal sides and four equal angles. A circle has no angles. It is perfectly round.				A square.	A triangle.^A square.^A circle.
			6019	paragraph_sentence	What does our cow like?	This is our cow. I give our cow water. I give our cow treats. She likes carrots. Father milks our cow every day. We see some of the milk for money.				Carrots.	Money.^Milk.^Carrots.
			6020	imageseq_sentence		Fruits can be sweet.		Vegetables can be crunchy.	Fruits can be sweet. They can be full of vitamins. Vegetables can be crunchy.	They can be full of vitamins.	They can be full of vitamins.^It can make you strong.^Always drink lots of water.
											
MiniTest_7_1	1	71001, 71002, 71003, 71004, 71005									
			71001	image_sentence		l7_hecandrive.png			He can drive.	He can drive.	He can drive.^She can drive.^He can draw.
			71002	image_sentence		l5_shirtdirty.png			This shirt is dirty.	This shirt is dirty.	This shoe is dirty.^This shirt is clean.^This shirt is dirty.
			71003	sentence_sentence		Choose the right one.			Choose the right one.	Chinmay can run fast.	Chinmay can run fast.^Chinmay can running fast.^Chinmay runs can fast.
			71004	sentence_sentence		Choose the right one.			Choose the right one.	She has a mango.	She has a mango.^She have a mango.^She having a mango.
			71005	soundonly_image					she met a dolphin	book_en_319_page_6.png	book_en_319_page_7.png^book_en_319_page_6.png^book_en_319_page_10.png
											
MiniTest_7_1	2	71006, 71007, 71008, 71009, 71010									
			71006	image_sentence		l6_potato.png			It is a potato.	It is a potato.	It is a tomato.^It is a potato.^These are tomatoes.
			71007	image_sentence		l5_hesick.png			He looks sick.	He looks sick.	He looks sick.^She looks sick.^He looks happy.
			71008	sentence_sentence		Choose the right one.			Choose the right one.	Snakes do not have legs.	Snakes do not have legs.^Snakes are not have legs.^Snakes have not legs.
			71009	sentence_sentence		Choose the right one.			Choose the right one.	They have mangoes.	They have mangoes.^They has mangoes.^They having mangoes.
			71010	soundonly_image					she met a snail	book_en_319_page_7.png	book_en_319_page_7.png^book_en_319_page_6.png^book_en_319_page_10.png
											
MiniTest_7_1	3	71011, 71012, 71013, 71014, 71015									
			71011	image_sentence		l6_carrots.png			These are carrots.	These are carrots.	This is not a carrot.^There are onions.^These are carrots.
			71012	image_sentence		l6_shesinger.png			She is a singer.	She is a singer.	She is a teacher.^She is a singer.^She is a nurse.
			71013	sentence_sentence		Choose the right one.			Choose the right one.	She does not like dogs.	She does not like dogs.^She are not like dogs.^She not like dogs.
			71014	sentence_sentence		Choose the right one.			Choose the right one.	I want a mango.	I want a mango.^I wants a mango.^I wanting a mango.
			71015	soundonly_image					she sat on her mom	book_en_319_page_10.png	book_en_319_page_7.png^book_en_319_page_6.png^book_en_319_page_10.png
											
MiniTest_7_2	1	72001, 72002, 72003, 72004, 72005									
			72001	image_sentence		l8_heeatingsalad.png			He is eating salad.	He is eating salad.	He is eating chicken.^He is eating rice.^He is eating salad.
			72002	image_sentence		l8_sheswimming.png			She is swimming.	She is swimming.	She is shopping.^He is swimming.^She is swimming.
			72003	sentence_sentence		Choose the right one.			Choose the right one.	The plant is green.	The plant green.^The plant green is.^The plant is green.
			72004	sentence_sentence		Choose the right one.			Choose the right one.	They eat fast.	They eats fast.^They eat fast.^They eating fast.
			72005	sentence_word		I need a _____.			I need a paper	paper	paper^pencil^envelope
											
